Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,gpt3.5 Common Questions,gpt3.5 Correct Common Questions
US/Europe,Sports,US,American Football,India,Football,Yes,1,"American football (referred to simply as football in the United States and Canada), also known as gridiron football, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. The objective is to advance the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal.","Football, referred to as soccer in the United States and Canada, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end, in India. The objective is to advance the ball into the opposing team's goal by kicking it or heading it, for a score known as a goal. Alternatively, a team can score three points for a field goal, which is kicking the ball through the opponent's goalposts.","Football, also known as soccer, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. The objective is to kick the ball through the opponent's goalposts for a goal."," (i) Can you name a team sport played by two teams of eleven players on a rectangular field with goalposts at each end?
(ii) What is another name for the sport commonly known as football, where the objective is to advance the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal?","(i) Can you name a team sport played by two teams of eleven players on a rectangular field with goalposts at each end?
(ii) What is another name for the sport where the objective is to kick the ball through the opponent's goalposts for a field goal?
(iii) Which team sport involves a ball?","(i) What is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end?
(ii) What is the objective in American football and gridiron football?",(i) What is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end?
Other,Awards,Australia,Order of Australia,India,The Bharat Ratna,No,1,"The Order of Australia is an honour that recognises Australian citizens and other persons for outstanding achievement and service. It was established on 14 February 1975 by Elizabeth II, Queen of Australia, on the advice of the Australian Government. Before the establishment of the order, Australian citizens received British honours.","The Bharat Ratna is an honor that recognizes Indian citizens for their exceptional service and contribution in any field. It was established on 2 January 1954 by Rajendra Prasad, the President of India, based on the recommendations of the Government of India. Before the establishment of the Bharat Ratna, Indian citizens received British honors.","The Bharat Ratna is an honor that recognizes Indian citizens for their exceptional service and contribution in any field. It was established on 2 January 1954 by Rajendra Prasad, former President of India, based on the recommendations of the Government of India.","(i) Can you give me an example of an honor established by a head of state?
 (ii) What is a notable distinction given to citizens in Australia and India?
 (iii) What is the name of an honor that was established to replace British honors for Australians? 
 (iv) What information can you provide about the Bharat Ratna, an Indian honor?","(i) Name an honour that recognises citizens of its country for their outstanding service. 
","(i) What is an honor that recognizes outstanding achievement and service for Australian citizens and other individuals?
(ii) When was the Order of Australia established and by whom?",(i) What is an honor that recognizes outstanding achievement and service?
Other,Language,China,Chinese,Karnataka,Kannada,Yes,2,"Standard Chinese is designated as the official language of mainland China. There are standard Chinese speakers in other countries like United Nations, Singapore, and Taiwan.","Kannada is designated as the official language of the state of Karnataka in India. There are Kannada speakers in other countries, including Mauritius and the United Arab Emirates, where it is widely spoken among the Indian diaspora.","Kannada is designated as the official language of mainland Karnataka. There are standard Kannada speakers in other countries, like United Nations, Singapore, and Malaysia."," (i) What is an example of a country's official language?
(ii) In which countries can you find speakers of standard Chinese and Kannada?
(iii) Can you name a language, besides English, that serves as an official language in multiple countries?","(i) What is an example of a country's official language?
(ii) Can you name a language whose speakers are in multiple countries?","(i) What is designated as the official language of mainland China and mainland Karnataka? 
(ii) Where are standard Chinese and standard Kannada speakers located outside of their respective mainland areas?","(i) What is designated as the official language? 
(ii) Name a language where the speakers are also located outside of their respective mainland areas?"
Other,Library,Russia,The Russian State Library,Bengaluru,State Central Library,No,3,"The Russian State Library is one of the three national libraries of Russia, located in Moscow. It is the largest library in the country, largest in Europe and one of the largest in the world. Its holdings crossed over 47 million units in 2017. ","The State Central Library is one of the national libraries of India, located in Bangalore. It is the largest library in the country, serving the people of Bangalore and surrounding regions. Its holdings crossed over a significant milestone in 2021, making it a major hub of knowledge and information in India and beyond.","The State Central Library is one of the state libraries of India, located in Hyderabad. It is the largest library in the state of Telangana. Its holdings crossed over five hundred thousand units in 2021."," (i) Which library is one of the national libraries in Russia?
(ii) Can you name a library known for being one of the largest in Europe?
(iii) Which library holds over 47 million units, making it one of the largest in the world?
(iv) Can you mention a library in India that is one of the largest in its state?
(v) Which library's collection surpassed half a million units in 2021?","(i) Can you name a library known for being one of the largest in its region?
(ii) Which library houses a vast collection of items?","(i) What is one of the three national libraries in Russia?
(ii) Which library is the largest in the state of Telangana?","(i) Name one of the government libraries?
(ii) Name the largest library?"
Other,Caves,Turkey,Egma Sinkhole,Andhra Pradesh,Borra caves,Yes,2,"EGMA Sinkhole a.k.a. Peynirlikönü Sinkhole, is a sinkhole and the deepest cave in Turkey. It is located at Sugözü village of Anamur, Mersin. The sinkhole is 1,429 m (4,688 ft) deep and 3,118 m (10,230 ft) long. EGMA is an acronym that stands for Evren Günay - Mehmet Ali Özel.","The Bora Caves, also known as Andhra Pradesh's deepest cave, is a sinkhole located in the village of Sugözü, Anamur, Andhra Pradesh. The cave is 1,429 m (4,688 ft) deep and 3,118 m (10,230 ft) long, making it a significant geological attraction. It's worth noting that ""Bora"" is not an acronym, unlike ""EGMA,"" which stands for ""Evren Günay - Mehmet Ali Özel.""","The Borra Caves, one of the largest in India. It is located on the East Coast of India. The cave is 80 m (260 ft) deep.","(i) What is a name of a deep sinkhole known by two different designations?
(ii) Can you mention a cave's depth and where it is located?","(i) Can you name a cave whose depth is known?
","(i) What is the deepest cave in Turkey, also known as EGMA Sinkhole?
(ii) Can you name a sinkhole located in Mersin, Turkey?","(i) Name the largest or deepest cave?
(ii) What is the depth of the cave?"
US/Europe,Shopping Malls,US,The Mall Of America,India,Lulu Mall,No,1,"The Mall of America is the largest shopping mall in the United States of America. The mall offers a wide range of attractions and amenities, including shopping, dining, and entertainment options.","Lulu Mall is the largest shopping mall in India. The mall offers a wide range of attractions and amenities, including shopping, dining, and entertainment options.","Lulu Mall is the largest shopping mall in India. The mall offers a wide range of attractions and amenities, including shopping, dining, and entertainment options.","(i) What is the largest shopping mall in a country?
(ii) Where can one find a wide range of attractions, dining, and entertainment options under one roof?
(iii) Can you name a mall known for offering extensive amenities?","(i) Name the largest shopping mall in the country.
(ii) Which mall offers wide range of 
attractions and amenities?
(iii) Can you name a shopping mall which offers entertainment options?","(i) What is the largest shopping mall in the United States of America? 
(ii) Can you name a shopping mall that offers a wide range of attractions and amenities, including shopping, dining, and entertainment options?","(i) What is the largest shopping mall? 
(ii) Can you name a shopping mall that offers a wide range of attractions and amenities, including shopping, dining, and entertainment options?"
Other,Monument,Japan,Tokyo Imperial Palace,Rajasthan,Udaipur City Palace,Yes,2,"The Imperial Palace is the main residence of the Emperor of Japan. It is a large park-like area located in the Chiyoda district of the Chiyoda ward of Tokyo and contains several buildings including the Fukiage Palace where a Emperor has his living quarters, the main palace where various ceremonies and receptions take place, some residences of the Imperial Family, an archive, museums and administrative offices.","The Udaipur City Palace is the main residence of the Maharana of Udaipur, the head of the Mewar royal family in the Indian state of Rajasthan. It is a large palace complex located on the east bank of Lake Pichola and contains several buildings including the Lake Palace (Jag Niwas), the Monsoon Palace (Sajjangarh), residences of the royal family, an archive, museums, and administrative offices.","The Udaipur City Palace was the residence of the Maharanas of Udaipur. It is a large palace complex located on the east bank of Lake Pichola and contains several palaces including the Sheesh Mahal, Shambu Niwas the residences of the royal family, temples, and administrative offices.","(i) Can you name a prominent residence of a country's leader?
 (ii) Describe a large palace complex with multiple buildings within it?
 (iii) Where is the main residence of the Emperor of Japan located?
 (iv) What contains several buildings including residences, temples, and administrative offices situated near a lake in Udaipur city?","(i) Can you name a palace which is or was a residence of the region's emperor? 
(ii) Describe a large palace complex with multiple buildings within it.","(i) What is the main residence of the Emperor of Japan?
(ii) Can you name a large palace complex located on the east bank of Lake Pichola?","(i) What is the main residence of the Emperor or King?
(ii) Can you name a large palace complex?"
US/Europe,Scientist,New York,David Altshuler,India,Anuranjan Anand,Yes,1,"David Matthew Altshuler is a clinical endocrinologist and human geneticist. He is Executive Vice President, Global Research and Chief Scientific Officer at Vertex Pharmaceuticals. ","Anuranjan Anand is a clinical endocrinologist and human geneticist based in India. He holds the position of Executive Vice President, Global Research and Chief Scientific Officer at Vertex Pharmaceuticals.",Anuranjan Anand is a human geneticist. He is a professor at the Molecular Biology and Genetics Unit and an associate faculty member at the Neuroscience Unit of the Jawaharlal Nehru Centre for Advanced Scientific Research.," (i) Can you name a clinical endocrinologist and human geneticist?
(ii) Who is a executive vice president and chief scientific officer at a pharmaceutical company?
(iii) Can you mention a human geneticist who works at a research center?",(i) Can you name a human geneticist who holds an important position in an organisation?,"(i) What is the profession of David Matthew Altshuler?
(ii) Who is the Executive Vice President of Global Research at Vertex Pharmaceuticals?
(iii) What field is Anuranjan Anand specialized in?
(iv) Where is Anuranjan Anand a professor and associate faculty member?",(i) Name a human geneticist.
US/Europe,Dessert,US,Angel Food Cake,India,Pitha,Yes,1,"Angel food cake, or angel cake, is a type of sponge cake made with egg whites, flour, and sugar. A whipping agent, such as cream of tartar, is commonly added. It differs from other cakes because it uses no butter. Its aerated texture comes from whipped egg white.","Sure, I'd be happy to help you localize the reference entity sentence for the Indian domain using the target entity ""Pitha."" Here's the revised sentence:
  
  Pitha is a type of cake or dumpling that is popular in India, made with rice flour, wheat flour, or lentil flour, and often filled with sweet or savory ingredients. It differs from other cakes because it doesn't use butter, instead relying on the natural fats of the filling to provide richness. The texture of pitha can vary widely depending on the ingredients and method used, ranging from soft and spongy to crispy and flaky.
  
  Note that I had to make some significant changes to the sentence to accurately reflect the characteristics and uses of Pitha in Indian cuisine. While Angel Food Cake is a light and airy cake made with egg whites, Pitha can be either sweet or savory, and its texture depends on the ingredients used. Additionally, while Angel Food Cake doesn't use butter as a primary ingredient, it also doesn't rely on other fats to provide richness like Pitha does.","Pitha is a type of cake or dumpling made with rice flour or wheat flour, and often filled with sweet or savory ingredients- sugar, jaggery, sesame seeds and some versions may have a filling, garnish, or sauce. Its soft and spongy to crispy and flaky texture can vary widely depending on the ingredients and method used.","(i) Can you name a type of cake that's known for its light and airy texture?
 (ii) What dessert is made using egg whites, flour, and sugar, without any butter?
 (iii) Could you mention a type of cake that's differentiated by a whipping agent in its preparation?","(i) Can you name a dessert which is a type of a cake?
(ii) Name a dessert which has flour as one of its ingredients.","(i) What type of cake is made without butter and uses whipped egg whites for its aerated texture?
(ii) Can you name a type of cake or dumpling made with rice flour or wheat flour, and filled with sweet or savory ingredients?",(i) Name a desert which is a type of cake.
US/Europe,Space agency,Germany,DLR Site Lampoldshausen,Bengaluru,Liquid Propulsion Systems Centre,Yes,2,"DLR Site Lampoldshausen is an institution which has its focus on propulsion systems and aerospace applications. It is involved in research and development related to rocket propulsion and combustion chambers, emphasizing the importance of fatigue life prediction and materials testing for reliable performance in aerospace and energy generation applications","The Liquid Propulsion Systems Centre, located in Bangalore, is an institution that specializes in propulsion systems and aerospace applications, similar to DLR Site Lampoldshausen in Germany. It conducts research and development activities related to rocket propulsion and combustion chambers, with a strong emphasis on fatigue life prediction and materials testing. This focus ensures reliable performance in aerospace and energy generation applications, making it a crucial contributor in these areas for India, similar to DLR Site Lampoldshausen's role in Germany's aerospace sector.","Liquid Propulsion Systems Centre is an institution which has its focus on propulsion systems and aerospace applications. It is involved in research and development related to rocket propulsion and combustion chambers, emphasizing the importance of fatigue life prediction and materials testing for reliable performance in aerospace and energy generation applications","(i) Can you mention an institution that focuses on propulsion systems and aerospace applications?
(ii) What kind of research and development activities might an institution involved in aerospace propulsion systems and combustion chambers engage in?
(iii) Why is fatigue life prediction crucial for reliable performance in aerospace and energy generation applications?","(i) Can you mention an institution that focuses on aerospace applications?
(ii) Name an institution involved in research and development related to rocket propulsion.","(i) What type of institution focuses on propulsion systems and aerospace applications, emphasizing research and development related to rocket propulsion and combustion chambers?
(ii) What is the importance of fatigue life prediction and materials testing in the field of aerospace and energy generation applications?","(i) Name an institution that focuses on propulsion systems and aerospace applications?
(ii) Name an institution that is involved in research and development related to propulsion and combustion chambers."
Other,Natural calamity,Madagascar,Cyclone Enawo,Odisha,Cyclone Phailin,No,2,"Intense Tropical Cyclone Enawo was the strongest tropical cyclone of the 2016-17 South-West Indian Ocean cyclone season. Enawo was the strongest tropical cyclone to strike Madagascar since Gafilo in 2004, killing 78 people and causing $400 million in damages.","Intense Tropical Cyclone Phailin was the strongest tropical cyclone of the 2013 North Indian Ocean cyclone season. Phailin was the strongest tropical cyclone to strike Odisha since the 1999 Odisha cyclone, killing over 20 people and causing $4 billion in damages.
 Please note that I have changed the cyclone year and location and also adjusted the death toll and damages accordingly based on the information available for Cyclone Phailin in Odisha.","Intense Tropical Cyclone Phailin was the strongest tropical cyclone of the 2013. Phailin was the strongest tropical cyclone to strike Odisha since the 1999 Odisha cyclone, killing over 46 people and causing US$4.26 billion in damages.","(i) Can you give an example of a strong tropical cyclone from any ocean?
 (ii) Which ocean had the strongest tropical cyclone of the 2013 season?
 (iii) What was the impact of the strongest tropical cyclone of the 2016-17 South-West Indian Ocean cyclone season in terms of lives lost and damages caused?","(i) Can you give an example of a tropical cyclone that caused loss of lives?
(ii) Provide the name of one of the strongest tropical cyclones.","(i) What was the strongest tropical cyclone of the 2016-17 South-West Indian Ocean cyclone season?
(ii) Can you name the strongest tropical cyclone to strike Madagascar since Gafilo in 2004?","(i) Name the strongest tropical cyclone?
(ii) Can you name a tropical cyclone that killed 40+ people and caused damages?"
Other,Export goods,Vietnam,Black Pepper,India,Spices,Yes,1,"Vietnam is the world's largest producer and exporter of culinary black pepper. The value of black pepper exported from Vietnam is in billions. The destinations for it's exports are India, China, United States, United Arab Emirates, Germany and many other countries.","India is one of the world's major producers and exporters of a variety of spices, including pepper. The value of spice exports from India is in billions. The destinations for spice exports include countries such as Vietnam, China, United States, United Arab Emirates, Germany, and many others.","India is the world's largest producer and exporter of culinary spices. The value of spices exported from India is in billions. The destinations for it's exports are United States, United Arab Emirates, Bangladesh and many other countries.","(i) What country is a major exporter of culinary spices?
(ii) Which country leads in the production and export of black pepper?
(iii) Name a destination for export of either spices or black pepper.
(iv) In which industry would you find black pepper and other spices being major exports?","(i) Name a food ingredient of which the country is the largest producer and exporter.
(ii) Name a food ingredient which exported to United States and United Arab Emirates.","(i) Which country is the world's largest producer and exporter of culinary black pepper?
(ii) What are some of the top destinations for black pepper exports from the largest producer and exporter in the world?","(i) Which country is the world's largest producer and exporter of culinary spices?
(ii) What are some of the top destinations for spices exports?"
Other,Cartoon,China,Monkey King,West Bengal,Bantul The Great,Yes,2,"The Monkey King or Sun Wukong is a fictional character best known as one of the main players in the 16th-century Chinese novel Journey to the West, and many later stories and adaptations. In the novel, Sun Wukong is a monkey born from a stone who acquires supernatural powers through Taoist practices.","The folk hero Bantul The Great is a well-known character from West Bengal folklore, best recognized as one of the main figures in the traditional tales and adaptations. In the stories, Bantul The Great is a human born in West Bengal who acquires supernatural powers through practicing local spiritual beliefs and rituals.","Bantul is a fictional character best known as one of the main players in the 1964 Indian comic strip. In the comic strip, Bantul is a superhero, with a well-built body and God-like strength."," (i) Who is a well-known fictional character from Chinese literature?
(ii) Can you name a fictional character who acquires supernatural powers?","(i) Can you recall a well-known fictional character who has superhero powers?
(ii) Name a cartoon character which came in existence  many years ago.","(i) Who is a fictional character known for being one of the main players in a 16th-century Chinese novel?
(ii) Can you tell me about a fictional character who acquires supernatural powers through Taoist practices in a novel?","(i) Name a fictional character?
(ii) Can you name a fictional superhero?"
US/Europe,Film director,American,Phillip Youmans,Bangalore,Kishan Shrikanth,Yes,3,"Phillip Youmans (born February 18, 2000) is an American filmmaker. He is the first African-American director to win the Founders Prize at Tribeca Film Festival, which he received for his 2019 directorial debut, Burning Cane.

","Kishan Shrikanth, who was born in Bangalore on November 1, 1998, is a renowned filmmaker from India. He made history as the youngest director to win a National Award at the age of 9 for his film ""C/O Footpath."" This accomplishment highlights his exceptional talent and contribution to the Indian film industry.","Kishan Srikanth (born 6 January 1996) is an Indian director. He is the youngest director to win National Film Award for Best Children's Film, which he received for his 2009 directorial debut, Care of Footpath."," (i) Can you name an American filmmaker who has won a significant directorial award?
(ii) Who is the first African-American director to win a prestigious film festival prize?
(iii) Can you mention a director who won a major award for their debut film?","(i) Can you mention a director who won a major award for their debut film?
(ii) Name a director who has created history in their country.","(i) Who is an American filmmaker known for winning the Founders Prize at Tribeca Film Festival?
(ii) Which director is recognized as the youngest to win the National Film Award for Best Children's Film?","(i) Name a filmmaker/director?
(ii) Name a person who received award on their first directional debut?"
US/Europe,Motivational Speaker,US,Paula White,Coimbatore,Sadhguru,Yes,3,"Paula Michelle White-Cain is an American televangelist and a proponent of prosperity theology.
  White became chair of the evangelical advisory board in Donald Trump's administration. She delivered the invocation at his inauguration, on January 20, 2017. She is the first female clergy member to deliver the invocation.","Coimbatore-based spiritual leader and proponent of integral yoga, Sadhguru Jaggi Vasudev has gained prominence in India and beyond. He was appointed as a chairperson of the spiritual advisory board in Narendra Modi's administration. Sadhguru offered an invocation at the swearing-in ceremony of Prime Minister Modi on May 26, 2014. He is the first yoga guru to deliver the invocation at a political event in India.","Sadhguru is an Indian spiritual leader and speaker and proponent of integral yoga. Sadhguru founded the Isha Foundation, a non-profit organization. He has also addressed at the annual World Economic Forum in 2007, 2017 and 2020.","(i) Who is a well-known proponent of a religious belief system in the United States?
 (ii) Can you name a religious figure who delivered a speech at a significant political event?
 (iii) Who is a spiritual leader based in India who has spoken at a global forum?",(i) Can you name a motivational speaker who has addressed an important event?,"(i) Who is an American televangelist known for advocating prosperity theology?
(ii) Which spiritual leader founded the Isha Foundation, a non-profit organization?",(i) Name a televangelist /motivational speaker?
Other,Poet,Japan,Matsuo Basho,Kudki,Merabai,Yes,3,"Matsuo Bashō, born Matsuo Kinsaku, later known as Matsuo Chūemon Munefusa, was the most famous Japanese poet of the Edo period. During his lifetime, Bashō was recognized for his works in the collaborative haikai no renga form; today, after centuries of commentary, he is recognized as the greatest master of haiku.","Merabai, born in Kudki, was the most renowned poetess of the region. During her lifetime, Merabai was celebrated for her works in the collaborative form of kavita renga; today, after centuries of commentary, she is recognized as the greatest master of doha.","Mirabai, born Jashoda Rao Ratan Singh Rathore, later known as Sant Mirabai, was a famous Hindu mystic poet. During her lifetime, Mirabai was recognized as a devotee of Krishna; today, after centuries of commentary, she is recognized as one of the greatest masters of doha."," (i) Who is considered a famous poet from the Edo period in Japan?
(ii) Can you name a poet who is recognized for their works in the collaborative haikai no renga form?
(iii) Who is recognized as a great master of haiku in Japan after centuries of commentary?
(iv) Who is a well-known Hindu mystic poet?
(v) Can you name a poet recognized as a devotee of Krishna during her lifetime?
(vi) Who, after centuries of commentary, is recognized as one of the greatest masters of doha?","(i) Can you name a poet who is recognized for their works?
","(i) Who is considered the most famous Japanese poet of the Edo period?
(ii) Name a poet who is recognized as one of the greatest masters of doha today?","(i) Name a famous poet?
(ii) Name a person who is considered as one of the greatest masters of a poetic form?"
Other,Film director,Japan,Kinji Fukasaku,Mumbai,Rohit Shetty,Yes,3,"Kinji Fukasaku was a Japanese film director and screenwriter. Known for his ""broad range and innovative filmmaking"", Fukasaku has worked in many different genres and styles, but was best known for his gritty yakuza films, typified by the Battles Without Honor and Humanity series.","Rohit Shetty is a renowned film director and producer from Mumbai, India. Known for his ""versatile range and mass-friendly filmmaking"", Shetty has worked in various genres, but he is best recognized for his action-comedy films such as the Golmaal series and Singham series.","Rohit Shetty is an Indian film director, writer, and producer. Known for his ""high octane and mass-friendly films"", Shetty has worked in various genres, but is best known for action, comedy, and masala films typified by the series, Golmaal and Singham.","(i) Can you name a film director known for working across various genres?
 (ii) Who is a notable figure in Japanese cinema, known for gritty yakuza films?
 (iii) Can you think of a filmmaker recognized for creating high-octane, mass-friendly movies?
 (iv) Who is a notable Indian film director known for action, comedy, and masala films?","(i) Can you name a film director known for working across various genres?
(ii) Can you name a film director who also holds other professional titles in the movie industry?","(i) Who was a Japanese film director known for his gritty yakuza films?
(ii) Name an Indian film director known for his high octane and mass-friendly films?",(i) Name an film director known for his gritty or mass-friendly films?
Other,Kings & Dynasty,Egypt,Tutankhamun,Pataliputra,Vasudeva Kanva,Yes,3,"Tutankhamun, Tutankhamon or Tutankhamen, also known as Tutankhaten, was the antepenultimate pharaoh of the Eighteenth Dynasty of ancient Egypt. His death marked the cessation of the dynasty's royal line.
","Vasudeva Kanva, also known as Vasudeva I, was the antepenultimate ruler of the Kanva dynasty, which held power in ancient India. His death marked the end of the Kanva dynasty's rule.

Note: I have replaced ""pharaoh of the Eighteenth Dynasty of ancient Egypt"" with ""ruler of the Kanva dynasty, which held power in ancient India"" to accurately reflect the change from Tutankhamun to Vasudeva Kanva.",Vasudeva Kanva was the founder and ruler of the Kanva dynasty of ancient India. His death marked the succession of his son Bhumimitra.," (i) Who was a pharaoh of ancient Egypt's Eighteenth Dynasty?
(ii) Can you name a ruler of an ancient Indian dynasty?
(iii) Is there a figure known by multiple names, including Tutankhamun, Tutankhamon, Tutankhaten, and Tutankhamen?","(i) Can you name an individual who was the ruler of a dynasty?
(ii) Name a ruler who ruled in the ancient period.","(i) Who was a prominent ruler of ancient Egypt?
(ii) Can you name a pharaoh from the Eighteenth Dynasty of ancient Egypt?
(iii) Which dynasty did Vasudeva Kanva found and rule in ancient India?
(iv) Who succeeded Vasudeva Kanva as the ruler of the Kanva dynasty?",(i) Name a ruler of a dynasty?
US/Europe,Nobel Laureates,Moscow,Andrei Dmitrievich Sakharov,India,Mother Teresa,Yes,1,"Andrei Dmitrievich Sakharov was a Soviet physicist and a Nobel Peace Prize laureate, which he was awarded in 1975 for emphasizing human rights around the world.","Mother Teresa was an Albanian-Indian Roman Catholic nun and missionary, and a Nobel Peace Prize laureate, which she was awarded in 1979 for her humanitarian work among India's poor.","Mother Teresa was an Albanian-Indian Roman Catholic nun and a Nobel Peace Prize laureate, which she was awarded in 1979 for her humanitarian work among India's poor.","(i) Can you name a Nobel Peace Prize laureate?
 (ii) Can you mention a renowned physicist who advocated for human rights?
 (iii) Can you recall a religious figure who was also a Nobel Peace Prize laureate?",(i) Can you name a person who was awarded Nobel Peace Prize for their contribution towards betterment of the society?,"(i) Who was a Soviet physicist and Nobel Peace Prize laureate for emphasizing human rights around the world?
(ii) Can you name a Nobel Peace Prize laureate known for humanitarian work among India's poor?",(i) Name a Nobel Peace Prize laureate?
US/Europe,Scientist,Washington DC,Dwight Billings,Thiruvananthapuram,N. Balakrishnan Nair,No,3,"William Dwight Billings was an American ecologist. He was one of the foundational figures in the field of plant physiological ecology and made major contributions to desert and arctic/alpine ecology.
","N. Balakrishnan Nair is a renowned Indian ecologist based in Thiruvananthapuram. He is considered one of the pioneering figures in the field of mangrove ecology, having made significant contributions to the understanding and preservation of mangrove ecosystems in India's tropical coastlines.",N. Balakrishnan Nair was an Indian ecologist and marine biologist. He was one of the pioneering figures in the field of tropical wetland mangrove ecology and made major contributions to the understanding and conservation of mangrove ecosystems and the management of marine algae and seagrass on India's tropical coastlines.," (i) Can you name an American ecologist who made significant contributions to a specific field of ecology?
(ii) Who was a pioneering figure in the field of tropical wetland mangrove ecology?
(iii) Can you recall a scientist who made major contributions to desert ecology?","(i) Can you name an ecologist?
(ii) Name an individual who made significant contributions to a specific field of ecology?
","(i) Who was an American ecologist known for his contributions to plant physiological ecology?
(ii) Who was an Indian ecologist and marine biologist known for his work in tropical wetland mangrove ecology?",(i) Name an ecologist.
Other,Poet,Egypt,Ahmed Shawqi,Uttar Pradesh,Amir Khusrow,Yes,2,"Ahmed Shawqi, nicknamed the Prince of Poets, was an Egyptian poet laureate, linguist, and one of the most famous Arabic literary writers of the modern era in the Arab World.","Amir Khusrow, also known as the ""Parrot of India,"" was a renowned poet, scholar, and musician from Uttar Pradesh, India. He is considered one of the most influential figures in the development of Indian literature and culture, particularly in the areas of poetry and music, during the medieval era. His works have had a lasting impact on Urdu and Persian literature, and he is often referred to as the ""father of Urdu poetry.""","Amir Khusrow, nicknamed the Parrot of India, was an Indian poet, sufi singer, and scholar and one of the most famous writers of the medieval era in India."," (i) Can you name a famous poet who was also known as the Prince of Poets?
(ii) Who was referred to as the Parrot of India in the medieval era of India?
(iii) Can you provide an example of an Arabic literary writer from the modern era?
(iv) Who was a well-known Indian poet, sufi singer, and scholar?","(i) Can you name a poet who is known as one of the most famous writers of their era?
(ii) Name a poet who was given a nickname.","(i) Who was known as the Prince of Poets and was a famous Arabic literary writer?
(ii) Who was known as the Parrot of India and was a famous writer of the medieval era in India?","(i) Name a poet.
(ii) Name a person who was a famous writer of an era."
US/Europe,Historical figure,Wahington,George Washington,New Delhi,Rajender Prasad,No,3,"George Washington was an American Founding Father, military officer, and politician who served as the first president of the United States from 1789 to 1797. ","Rajendra Prasad was a prominent Indian freedom fighter, politician, and legal scholar who served as the first President of India, serving from 1950 to 1962. He spent a significant portion of his political career in New Delhi, the capital city of India, where he played a crucial role in shaping the country's political landscape during its early years of independence.","Rajendra Prasad was an Indian freedom fighter, politician, lawyer and scholar who served as the first President of India from 1950 to 1962."," (1) Who was a prominent leader who served as the first president of a country?
(2) Can you name a founding father and a military officer who became a president?
(3) Tell me about a political figure who became a president after contributing to their nation's independence.","(i) Who was a prominent leader who served as the first president of a country? 
","(i) Who was the first President of the United States and what did he do before taking office?
(ii) Name a politician who served as the first President of India and what other roles did he have?",(i) Name a politician who served as the first President of the country?
US/Europe,Internet provider,Pennsylvania,Xfinity,Bengaluru,Atria Convergence Technologies,Yes,3,"Comcast Cable Communications, LLC, doing business as Xfinity, is an American telecommunications business segment and division of Comcast Corporation. ","Atria Convergence Technologies, headquartered in Bangaluru, India, is a prominent telecommunications company that offers a variety of services under the brand name Atria Convergence Technologies (ACT). It is not a division or segment of any other corporation, but a separate and independent entity.",Atria Convergence Technologies (ACT) is an Indian telecommunications company.," (i) Can you name an American telecommunications company?
(ii) Is there a telecommunications division known as Xfinity?
(iii) Can you mention a telecommunications company based in India?","(i) Can you name a company which does business in telecommunications?
(ii) Can you name a company which provides internet services?","1. Can you name a telecommunications business segment and division of Comcast Corporation?
2. Tell me about an Indian telecommunications company that goes by the acronym ACT.",(i) Name a telecommunications company?
US/Europe,Natural calamity,Canada,British Columbia wildfires,Odisha,Simlipal national park wildfires,Yes,2,"On July 6, 2017, a two-hectare wildfire began west of 100 Mile House, British Columbia, Canada marking the beginning of the record-breaking 2017 wildfire season in British Columbia. ","On April 23, 2015, a wildfire sparked across one hundred hectares of land in Simlipal national park, Odisha, India, marking the beginning of a significant wildfire season in the region.","In March 2015, a significant wildfire sparked across the Simlipal national park, Odisha, India, marking the beginning of a significant wildfire season in the region."," (i) When did a major wildfire season begin in British Columbia, Canada?
(ii) Can you recall when a significant wildfire started in a national park, marking a notable fire season?
(iii) Name a place where a significant wildfire marked the beginning of a record-breaking wildfire season?","(i) Name a place where a wildfire marked the beginning of a wildfire season? 
(ii) Mention a natural calamity caused by fire?","1) When did a wildfire begin in British Columbia, Canada, marking the start of the 2017 wildfire season there?
2) In what year did a significant wildfire spark across the Simlipal national park in Odisha, India, signaling the start of a wildfire season in the region?",(i) Tell about a wildfire that marked the begining of a significant wildfire seaon.
