Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Pharmaceutical Companies,UK,Mundipharma,Ahmedabad,Intas Pharmaceuticals,No,3,"Mundipharma International Limited is a British multinational research-based pharmaceutical company owned by members of the Sackler family with locations in the United Kingdom, Canada, Germany, and Singapore.","Intas Pharmaceuticals is a research-based pharmaceutical company based in Ahmedabad, India, with a multinational presence in countries including the United Kingdom, Canada, Germany, and Singapore. It is not owned by the Sackler family.","Intas Pharmaceuticals Limited is an Indian multinational research-based pharmaceutical company with a multinational presence in countries with locations in the United Kingdom, Greece, and Mexico."," (i) Can you provide an example of a research-based pharmaceutical company?
(ii) Which company has operations based in multiple countries?
(iii) Is there a pharmaceutical company that has locations in the United Kingdom and also operates internationally?","(i) Can you provide an example of a research-based pharmaceutical company? 
(ii) Which pharmaceutical company has operations based in multiple locations?"
US/Europe,Pharmaceutical Companies,Israel,Fermentek,New Delhi,Panacea Biotec,Yes,2,"Fermentek Ltd. is a biotechnological company in the Atarot industrial zone of Jerusalem, Israel. It specializes in the research, development and manufacture of biologically active, natural products isolated from microorganisms as well as from other natural sources such as plants and algae.
","""Panacea Biotec is a biotechnological company based in New Delhi, India. The company specializes in the research, development, and manufacture of biologically active, natural products derived from sources such as microorganisms, plants, and algae.""","Panacea Biotec is an Indian multinational global generic and specialty pharmaceutical and vaccine maker based in New Delhi, India. It specializes in the research, development, manufacture and marketing  of pharmaceutical formulations, vaccines, biosimilars, and natural products."," (i) What is the line of work for a company based in an industrial zone?
(ii) Can you name a company involved in biologically active product research?
(iii) Mention a business that specializes in natural product manufacturing. |","(i) Mention a Pharmaceutical Company that specializes in research. 
(ii) Provide an example of a pharmaceutical company that operates in the development, and manufacture of products.
"
US/Europe,Pharmaceutical Companies,Germany,Bayer,Pune,Serum Institute of India,Yes,3,Bayer AG is a German multinational pharmaceutical and biotechnology company and one of the largest pharmaceuticals and biomedical companies in the world.,"The Serum Institute of India, based in Pune, is a multinational pharmaceutical company and is one of the largest manufacturers of vaccines in the world. It is not based in Germany, but in India and focuses on the production of affordable and accessible vaccines for a wide range of diseases, protecting millions of people around the world every year.","The Serum Institute of India is a multinational biotechnology and biopharmaceuticals company, one of the largest manufacturers of vaccines in the world and also one of the largest pharmaceutical companies and biomedical companies in the world."," (i) Can you name a large pharmaceutical company in the world?
(ii) What is an example of a multinational biotechnology and biopharmaceuticals company?
(iii) Can you mention one of the largest manufacturers of vaccines globally?","(i) What is an example of a multinational biotechnology company?
(ii) Can you name one of the largest pharmaceuticals company?"
US/Europe,Pharmaceutical Companies,France,Sanofi,Ahmedabad,Zydus Lifesciences Limited,No,2,"Sanofi S.A. is a French multinational pharmaceutical and healthcare company headquartered in Paris, France. The corporation was established in 1973 and merged with Synthélabo in 1999 to form Sanofi-Synthélabo. ","Zydus Lifesciences Limited is an Indian multinational pharmaceutical and healthcare company headquartered in Ahmedabad, India. The corporation was established in 1995 and later grew through various acquisitions and mergers, including the acquisition of the global healthcare business of Teva Pharmaceuticals in 2020 to form Zydus Cadila Healthcare Limited.","Zydus Lifesciences Limited is an Indian multinational pharmaceutical company headquartered in Ahmedabad, Gujarat, India. The corporation was established in 1952 and merged another  pharmaceutical company called German Remedies in 2003 with itself and in 2022, Cadila Healthcare Ltd. was renamed Zydus Lifesciences Ltd."," (i) Can you name a multinational pharmaceutical company?
(ii) Which corporation was established in the year 1973 and went through a merger?
(iii) Tell me about a healthcare company headquartered in Paris.
(iv) Can you think of a pharmaceutical company that merged with another one called German Remedies?","(i) Can you name a multinational pharmaceutical company?
(ii) Which pharmaceutical corporation went through a merger?
"
Other,Pharmaceutical Companies,Dubai,Al Hayat Pharmaceuticals,India,Torrent Pharmaceuticals,No,1,"Established in 1982, Al Hayat Pharmaceuticals is a multinational pharmaceutical company headquartered in Sharjah. It is one of the leading pharmaceutical and medical companies in the U.A.E. The company is a manufacturer and supplier of pharmaceutical products and equipment.","In 1956, Torrent Pharmaceuticals was established in India and has grown into a multinational pharmaceutical company, known for its headquarters in Ahmedabad. It is one of the leading pharmaceutical and healthcare companies in India, renowned for manufacturing and supplying a wide range of pharmaceutical products and equipment.","Established in 1959, Torrent Pharmaceuticals Ltd. is a multinational pharmaceutical company headquartered in Ahmedabad. It is one of the leading pharmaceutical and medical companies in India. The company is a manufacturer and supplier of pharmaceutical products and equipment."," (i) Can you name a multinational pharmaceutical company established in the 1900s?
(ii) What is an example of a company that manufactures and supplies pharmaceutical products and equipment?
(iii) Can you mention a pharmaceutical company that has its headquarters in the UAE or India?","(i) Can you name a multinational pharmaceutical company?
(ii) What is an example of a company that manufactures and supplies pharmaceutical products and equipment?
"
US/Europe,Photographer,Britain,Martin Parr,Maharashtra,Atul Kasbekar,Yes,2,"Martin Parr CBE is a British documentary photographer, photojournalist and photobook collector. He is known for his photographic projects that take an intimate, satirical and anthropological look at aspects of modern life, in particular documenting the social classes of England and, more broadly, the wealth of the Western world.","Atul Kasbekar, a renowned photographer from Maharashtra, is known for his intimate, satirical, and anthropological approach to documentary photography and photojournalism. He has gained recognition for his photographic projects that capture various aspects of Indian society, with a focus on documenting the social classes within Maharashtra and across India, reflecting the diversity and complexity of the country's cultural and socio-economic landscape, similar to how Martin Parr has documented the British and Western societies.","Atul Kasbekar is an Indian fashion photographer. He is known for shooting Kingfisher Calendar, featuring models clad in swimsuits, some of whom went on to successful acting careers.","(i) Can you name a notable documentary photographer?
 (ii) Who is a well-known fashion photographer?
 (iii) Can you mention a photographer who is known for their satirical approach?",(i) Name a well-known photographer.
US/Europe,Photographer,US,Dorothea Lange,New Delhi,Dayanita Singh,Yes,3,"Dorothea Lange was an American documentary photographer and photojournalist, best known for her Depression-era work for the Farm Security Administration.","Dayanita Singh is a renowned Indian documentary photographer and photojournalist, known for her insightful work that captures various aspects of contemporary Indian life.","Dayanita Singh is an Indian photographer and photojournalist, best known for her Museum Bhavan, a collection of museums in book form at the Hayward Gallery, London.","(i) Can you name a well-known American photographer?
 (ii) Who is a notable figure in the field of photojournalism?
 (iii) Can you recall a photographer famed for their work during the Great Depression?
 (iv) Tell me about an Indian photographer known for innovative photo collections.","(i) Who is a notable figure in the field of photojournalism?
(i) Can you name a well known photographer who is also a photojournalist?"
US/Europe,Photographer,Budapest,Robert Capa,Mumbai,Gautam Rajadhyaksha,Yes,3,Robert Capa was a Hungarian-American war photographer and photojournalist. He is considered by some to be the greatest combat and adventure photographer in history.,"Gautam Rajadyaksha is a Mumbai-based war photographer and photojournalist. He is considered by some to be one of the greatest combat and adventure photographers from India, with his work capturing powerful and poignant moments from various conflict zones around the world.",Gautam Rajadhyaksha was an Indian fashion photographer. He is considered by some to be one of the greatest celebrity portraitists and glamour photographers.,"(i) Can you name a famous war photographer?
 (ii) Who is considered one of the greatest fashion photographers hailing from India?
 (iii) Can you recall a well-known photographer who specialized in combat and adventure photography?
 (iv) Who is known for his remarkable work as a celebrity portraitist and glamour photographer?",(i) Mention a photographer who Is considered as one of the greatest in their field of photography.
Other,Photographer,Beijing,Ren Hang,Mumbai,Ketaki Sheth,Yes,3,"Ren Hang was a Chinese photographer and poet.
  During Ren's incipient career, he was known mostly for nude photographic portraits of his friends. His work is significant for its representation of Chinese sexuality within a heavily censored society. For these erotic undertones, he was arrested by PRC authorities several times.","Ketaki Sheth is an Indian photographer who has gained recognition for her intimate portraits of the local communities in Mumbai and other parts of India. During her illustrious career, she has been known mostly for her photographic portrayals of people in their natural settings. Her work holds great significance as it captures the essence of Indian culture and identity within a diverse and complex society. Unlike Ren Hang, Ketaki Sheth's work does not contain any erotic undertones or nudity, and she has never been arrested by Indian authorities for her photography.","Ketaki Sheth is an Indian photographer and author. During Ketaki Seth's incipient career, she was known for black-and-white staged photographs featuring twins from the diasporic community in the UK and India. Her work is significant for showcasing her unique perspective on life, labor, and urban spaces.","(i) Can you name a photographer who is known for their nude portrait photography?
 (ii) Who is a significant figure in Chinese photography, despite facing challenges due to societal censorship?
 (iii) Can you name an Indian photographer who has worked on staged photography featuring twins?
 (iv) Who is an author in the field of photography, known for their unique perspective on life, labor, and urban spaces?",(i) Name a photographer who is known for their work.
Other,Photographer,Canada,Gregory Colbert,Haridwar,Naresh Bedi,No,3,"Gregory Colbert is a Canadian filmmaker and photographer best known as the creator of Ashes and Snow, an exhibition of photographic artworks and films housed in the Nomadic Museum. Colbert sees himself as an apprentice to nature.","Naresh Bedi is a renowned Indian filmmaker, known best for his wildlife documentaries. One of his most famous works is ""Sons of the Snow,"" which explores the lives of snow leopards in their natural habitat. Bedi, who hails from Haridwar, considers himself an attentive student of nature, capturing its beauty and rawness through his lens.","Naresh Bedi is an Indian photographer and filmmaker, best known for his wildlife documentaries, best known as the creator of Cobra- The Snake God, a  documentary  housed by BBC and Discovery Channel.","(i) Can you name a filmmaker and photographer known for their exhibition of photographic artworks?
 (ii) Who is an Indian photographer and filmmaker known for wildlife documentaries?","(i) Can you name a photographer who is also a film maker? 
(ii) Can you talk about the best work of a film maker and photographer?"
US/Europe,Photographer,Hungary,Bence MÃ¡tÃ©,India,Rajesh Bedi,Yes,1,Bence MÃ¡tÃ© is a Hungarian wildlife photographer. He pioneered the one-way glass photography technique now popular among hide-based nature photographers around the world.,Rajesh Bedi is an Indian wildlife photographer. He pioneered the camouflage clothing technique now popular among hide-based nature photographers in India.,Rajesh Bedi is an Indian wildlife photographer. He has worked towards portraying wildlife photography and human cultures through his exceptional photography skills.,"(i) Can you name a wildlife photographer?
 (ii) Who is known for their contributions to wildlife photography technique?
 (iii) Where is the origin of a renowned wildlife photographer?
 (iii) Tell me about a person who has made significant contributions to wildlife photography and human cultures through their work?",(i) Can you name a wildlife photographer known for his photography skills?
US/Europe,Photographer,New York,Gregory Crewdson,India,Ram Rahman,Yes,1,"Gregory Crewdson is an American photographer who makes large-scale, cinematic, psychologically charged prints of staged scenes set in suburban landscapes and interiors. He directs a large production and lighting crew to construct his images.","Ram Rahman is an Indian photographer who creates large-scale, cinematic, psychologically-charged prints of staged scenes set in Indian landscapes and interiors. He directs a large production and lighting crew to construct his images.","Ram Rahman is an Indian photographer who captures documentary photographs of real-life scenes and people, focusing on the streets, visual culture and politics and historic events in India.","(i) Can you name an American photographer?
 (ii) Can you describe the working style of a photographer who creates large-scale, cinematic, and psychologically-charged images?
 (iii) Who is an Indian photographer known for capturing documentary photographs of real-life scenes?
 (iv) With what subjects does an Indian photographer named Ram Rahman usually engage?","(i) Can you name photographer who captures scenes?
."
US/Europe,Photographer,Washington D.C.,Ami Vitale,Chennai,Rathika Ramsamy,Yes,3,"Ami Vitale is an American photojournalist, documentary filmmaker, educator and speaker. In 2018, she published a photo book titled Panda Love, which captures pandas in captivity and being released into the wild.","Rathika Ramasamy is an Indian wildlife photographer and environmentalist based in Chennai. In 2018, she published a photo book titled ""The Secret Life of Indian Birds"" which captures various bird species in their natural habitats across India.","Rathika Ramasamy is an Indian wildlife photographer. In 2014, she published a photo book titled The Best of Wildlife Moments, which captures wildlife moments in their natural habitat.","(i) Can you name a photojournalist who has published a photo book?
 (ii) Who is an example of a documentary filmmaker?
 (iii) What is one example of a speaker's profession?","(i) Can you name someone who published a photo book?
(ii) Can you name a photographer who has captured wildlife?"
Other,Photographer,Egypt,Angela Scott,Karnataka,Sudhir Shivaram,Yes,2,"Angela, a wildlife photographer, was born in Alexandria, Egypt. She is known for her work documenting the lives of lions, leopards, and cheetahs in the Maasai Mara National Reserve in Kenya. She has received the Wildlife Photographer of the Year award.","Sudhir Shivaram, a renowned wildlife photographer, was born in Karnataka, India. He is well-known for his work capturing the lives of tigers, elephants, and leopards in Nagarahole and Bandipur National Parks in his home state of Karnataka. Sudhir Shivaram has received the prestigious Wildlife Photographer of the Year award.","Sudhir Shivaram, a wildlife photographer, was born in Karnataka, India. He is well-known for his work capturing the lives of tigers, elephants, and leopards in Nagarahole and Bandipur National Parks in Karnataka. He has received the Wildlife Photographer of the Year award."," (i) Who is a wildlife photographer who was born outside of India and Kenya?
(ii) Can you name a person who has received the Wildlife Photographer of the Year award?
(iii) Where could one find a wildlife photographer's work documenting lions, leopards, and cheetahs?","(i) Name a wildlife photographer who has received the Wildlife Photographer of the Year award?
(ii) Can you provide with a name of a photographer who is known for documenting animals in National Park?"
Other,Photographer,Malaysia,Eiffel Chong,Punjab,Raghu Rai,Yes,2,Eiffel Chong was an award-winning photographer and has been featured in many exhibitions in Malaysia and around the world.,"Raghu Rai, a renowned photographer from Punjab, has been the recipient of several awards and has been featured in numerous exhibitions across India and internationally.",Raghu Rai is an award-winning photographer and has been featured in many exhibitions in India and around the world.," (i) Can you name an award-winning photographer?
(ii) Who is a photographer known for having their work featured in international exhibitions?","(i) Can you name an award-winning photographer?
(ii) Who is a photographer known for having their work featured in international exhibitions?"
US/Europe,Place name,Washington State,Seattle,Punjab,Chandigarh,Yes,2,"The Seattle Seahawks are a professional American football team based in Seattle. The Seahawks compete in the National Football League as a member club of the league's National Football Conference West, which they rejoined in 2002 as part of a conference realignment.","The Chandigarh Panthers are a professional American football team based in Chandigarh. The Panthers compete in the National Football League (NFL) as a member club of the league's American Football Conference South, which they joined in 2023 as part of a conference realignment.
 
 Note: I have created the name ""Chandigarh Panthers"" and assigned them to the NFL's AFC South division for the purpose of this localization example. Currently, there is no NFL team named Chandigarh Panthers or any other Indian city in the National Football League.","The Chandigarh football team is an Indian football team based in Chandigarh. The Chandigarh football team has competed in the Santosh Trophy, representing Chandigarh, at least since 1983.","(i) What is an example of a professional American football team?
 (ii) Which conference does the Seattle Seahawks football team compete in?
 (iii) Can you name a football team that competes in the Santosh Trophy representing Chandigarh?","(i) What is an example of a professional football team? 
(ii) Could you name a football team which represents a city in the competition?"
US/Europe,Place name,Louisiana,New Orleans,Kerala,Thalassery,Yes,2,New Orleans is a consolidated city-parish located along the Mississippi River in the southeastern region of the U.S. state of Louisiana.,"Thalassery is a city located in the southern Indian state of Kerala, along the Malabar Coast in the northwestern region of the state. It does not form a consolidated city-parish like New Orleans in Louisiana. Instead, Thalassery is a municipal town within the Kannur district of Kerala.",Thalassery is a municipal town located along the Anjarakandi River in the northern part of the Indian state of Kerala.,"(i) Can you name a city that is also a parish in a southern state of the U.S.?
 (ii) What is an example of a municipal town situated near a river in India?",(i) What is an example of a city situated near a river? 
US/Europe,Place name,England,Bath,Tamil Nadu,Thanjavur,Yes,2,"Bath is a city in the ceremonial county of Somerset, England, known for and named after its Roman-built baths. At the 2021 Census, the population was 94,092. Bath is in the valley of the River Avon, 97 miles (156 km) west of London and 11 miles (18 km) southeast of Bristol.","Thanjavur is a city in the South Indian state of Tamil Nadu, known for its historic temples and significant contributions to South Indian art and culture. The city is named after its old name, Tanjore, and was once the capital of the Chola Empire. At the 2021 Census, the population was approximately 269,745. Thanjavur is located in the valley of the Kaveri River, about 185 miles (300 km) southwest of Chennai and 39 miles (63 km) northeast of Tiruchirappalli.","Thanjavur is a city in the South Indian state of Tamil Nadu, known for its historic temples and significant contributions to South Indian art and culture. At the 2021 Census, the population was approximately 342,000. Thanjavur is located in the valley of the Kaveri River, approximately 210 miles (340 km) southwest of Chennai and approximately 35 miles (56 km) northeast of Tiruchirappalli.","(i) Can you name a city known for its historic sites?
 (ii) What is the population size of a city with significant historical attractions, as per the 2021 Census data?
 (iii) In which country would you find a city named Bath, famed for its Roman-built baths?","(i) Can you name a city known for its historic sites? 
(ii) Can you name a city which is located in the river valley?"
US/Europe,Place name,Colorado,Mesa Verde,Karnataka,Hampi,Yes,2,"Mesa Verde National Park is an American national park and UNESCO World Heritage Site located in Montezuma County, Colorado. The park protects some of the best-preserved Ancestral Puebloan archaeological sites in the United States.","Hampi, a UNESCO World Heritage Site and an Indian national monument, is located in the southern state of Karnataka. It protects and preserves the ruins of the Vijayanagara Empire, making it one of the most important historical sites in India.","Hampi is an Indian national monument and UNESCO World  Heritage Site located in Hampi (City), Ballari district, now Vijayanagara district, Karnataka. It protects and preserves the ruins of the Vijayanagara Empire.","(i) Can you name a national park that is also a UNESCO World Heritage Site?
 (ii) Tell me about a place that preserves ancient archaeological sites?
 (iii) Where might one find information about the Vijayanagara Empire's remains?","(i) Can you name a place that is a UNESCO World Heritage Site? 
(ii) Name a place which protects and preserves an important part of history."
Other,Place name,South Africa,Johannesburg,West Bengal,Kolkata,Yes,2,"Johannesburg is the most populous city in South Africa with 4,803,262 people and is classified as a megacity; it is one of the 100 largest urban areas in the world.","Kolkata is the most populous city in West Bengal with a population of approximately 14.3 million, and is classified as a metropolitan city; it is one of the 20 largest urban areas in India.",Kolkata is the most populous city in West Bengal with approximately 14.3 million people and is classified as a megacity; it is one of the largest urban areas in India.,"(i) Can you name a city that is classified as a megacity?
 (ii) Which city is known to be one of the largest urban areas in its respective country?","(i) Name one of the most populous city in the region. 
(ii) Name a city which is classified as mega city"
Other,Place name,South Korea,Seoul,Uttar Pradesh,Lucknow,Yes,2,"Seoul, officially Seoul Special City, serves as the capital of South Korea, and is its most extensive urban center. The broader Seoul Capital Area, encompassing Gyeonggi province and Incheon metropolitan city, emerged as the world's fourth largest metropolitan economy in 2014, trailing only Tokyo, New York City, and Los Angeles, hosting more than half of South Korea's population.","Lucknow, officially known as the ""City of Nawabs,"" serves as the capital of Uttar Pradesh, India's most populous state, and is its eighth largest urban center. The broader Lucknow metropolitan area, encompassing parts of adjoining districts, has emerged as a significant economic hub in recent years, hosting more than 10% of Uttar Pradesh's population.","Lucknow, officially known as the ""City of Nawabs,"" serves as the capital of Uttar Pradesh and is one of its urban centers. The broader Lucknow metropolitan area, encompassing parts of adjoining districts, has emerged as a significant economic hub in recent years, behind cities like Kanpur, Noida, and Ghaziabad. It hosts more than 3.8 million of Uttar Pradesh's population.","(i) Can you name a city that serves as the capital of a country?
 (ii) Can you mention a metropolitan area known for its significant economic influence?
 (iii) Can you think of a large urban center with a historical nickname?","(i) Can you name a capital city? 
(ii) Can you mention a metropolitan area known for its significant economic influence?"
Other,Place name,Chile,Santiago,Manipur,Imphal,Yes,2,"Santiago, also known as Santiago de Chile, is the capital and largest city of Chile and one of the largest cities in the Americas.","Imphal, also known as Imphal East, is the capital and largest city of Manipur, a state in northeastern India, and one of the largest cities in the region.","Imphal, also known as Yumphal, is the capital and largest city of Manipur and one of the largest cities in northeastern India.","(i) Can you name a capital city that is also the largest city in its country?
 (ii) Could you identify a place that is referred to by two different names, one being the full name and the other an abbreviated version?",(i) Can you name a capital city that is also the largest city in its area?
Other,Place name,Yemen,Ta'izz,Goa,Mapusa,Yes,2,"Taiz is a governorate of Yemen. The governorate's capital is Taiz, which is the third-largest city in Yemen. Today, it is among the most important commercial centers in Yemen, owing to its proximity to rich farmland in the nation and to the important Red Sea port of Mocha.","Mapusa is a municipality in Goa. The capital of this municipality is also named Mapusa, which serves as an important commercial center in the state of Goa. Its importance stems from its vicinity to rich agricultural land within the region and to the significant Arabian Sea port of Vasco da Gama.",Mapusa is a municipality in Goa. It's a commercia town in the state of Goa owing to its proximity to many beaches in north Goa and to one of the main centers of Goa's tourism industry.,"(i) Can you name a capital city that is also the third-largest city in its country?
 (ii) What is an example of a region that serves as a significant commercial center in its nation?
 (iii) Can you mention a place known for its proximity to both farmland and a sea port?",(i) Can you name a place which is a commercial center?
Other,Place name,Singapore,Sentosa,India,Swaraj Dweep,Yes,1,"Sentosa Island, known mononymously as Sentosa and formerly Pulau Blakang Mati, is an island located off the southern coast of Singapore's main island.","Swaraj Dweep, previously known as Havelock Island, is a island situated off the southern coast of India's mainland, in the Andaman and Nicobar Islands union territory.","Swaraj Dweep, formerly known as Havelock Island, is an island situated to the east of Great Andaman within the Andaman Islands.","(i) Can you name an island that is located near a main island of a country?
 (ii) Before being renamed to Sentosa Island, what was its original name?
 (iii) Which island was formerly known as Havelock Island before being renamed Swaraj Dweep?
 (iv) In which island group is Swaraj Dweep located?",(i) Can you name an island which was previously known by a different name? (ii) Can you name an island which belongs to a group of islands?
Other,Place name,Vietnam,Ha Long Bay,West Bengal,Mandarmani,Yes,2,"Hạ Long Bay or Halong Bay is a UNESCO World Heritage Site and popular travel destination in Quảng Ninh Province, Vietnam. The name Háº¡ Long means ""descending dragon"".","Mandarmani is a popular travel destination in West Bengal, India. It is known for its breathtaking beach and scenic beauty. The name 'Mandarmani' comes from the mythological story of the descent of the 'Mandar' tree, symbolizing peace and prosperity.","Mandarmani is a seaside resort village and popular travel destination in West Bengal, India.","(1) What is a popular travel destination that is also a UNESCO World Heritage Site?
 (2) Can you name a location known as a descending dragon?
 (3) Where might one find a place called Mandarmani?",(i) Tell me a name of popular travel destination.
US/Europe,Place name,New York,Wall Street,Mumbai,Dalal Street,No,3,"Wall Street is a street in the Financial District of Lower Manhattan in New York City. Eight city blocks long, it runs between Broadway in the west to South Street and the East River in the east.","Dalal Street is a street located in the business district of Bandra Kurla Complex in Mumbai, India. It is eight city blocks long and runs between Bandra Link Road in the west and Mahakali Caves Road in the east. However, it is important to note that while Wall Street is known as the financial heart of the United States, Dalal Street is considered the equivalent for India, serving as the home exchange for Bombay Stock Exchange (BSE) and National Stock Exchange of India (NSE).",Dalal Street is a street located in the financial district of Fort in Mumbai. It is eight city blocks long and runs between Bharucha Marg in the west and Mumbai Samachar Road in the east.,"(i) Can you name a well-known financial district street in a major city?
 (ii) What is the name of an important street in the business district of a large city that spans eight city blocks?",(i) Can you name a well-known financial district street in a major city? 
US/Europe,Place name,Belarus,Minsk,Rajasthan,Jaipur,Yes,2,"Minsk is the capital and the largest city of Belarus, located on the Svislach and the now subterranean Niamiha rivers. As the capital, Minsk has a special administrative status in Belarus and is the administrative center of Minsk Region and Minsk District.","Jaipur is the capital and the largest city of Rajasthan, located on the banks of River Banas. As the capital, Jaipur has a special administrative status in Rajasthan and is the administrative centre of Jaipur Division and Jaipur District.","Jaipur is the capital and the largest city of Rajasthan, located on the banks of the river Dravyavati. As the capital, Jaipur has the Jaipur Development Authority, which is the main planning authority of the city.","(i) Can you name a capital city that also serves as the largest city in its country?
 (ii) Identify a city that is located near multiple rivers?
 (iii) Mention an example of a place that has special administrative status.
 (iv) What is another instance of a city which is also the administrative center of a region with the same name?","(i) Can you name a capital city? 
(ii) Identify a city that is located near a river. 
(iii) Can you name a city which is also the largest city of its region?"
US/Europe,Poet,Amherst,Emily Dickinson,Mysore,A K Ramanujan,Yes,3,"Emily Elizabeth Dickinson (December 10, 1830–May 15, 1886) was an American poet. She is considered one of the greatest poets in American literature. She had a unique and distinctive style of writing.","A K Ramanujan (March 16, 1929 â€“ July 7, 1993) was an Indian poet, translator, and scholar of language and literature. He is considered one of the most prominent figures in South Asian literature and is known for his unique and distinctive style of writing and translation.
 
 (Note: The location is changed to Mysore, where Ramanujan was born and raised, but this change does not affect the sentence as location is not relevant to his writing and literary contributions.)",Attipate Krishnaswami Ramanujan (16 March 1929 – 13 July 1993) was an Indian poet and scholar. He is considered as one of the greatest poets in Indian literature. He had a unique and distinctive style of writing.," (i) Can you name a well-known poet from American literature?
(ii) Who is considered one of the greatest poets in their respective literature, from either American or Indian context?
(iii) Tell me about a poet known for their unique writing style?","(i) Who is considered one of the greatest poets in their respective literature?
(ii) Tell me about a poet known for their unique writing style."
US/Europe,Poet,UK,William Shakespeare,Cuttack,Jayanta Mahapatra,Yes,3,"William Shakespeare was an English playwright, poet and actor. His extant works, including collaborations, consist of some 39 plays, 154 sonnets, and three long narrative poems in English. He is widely regarded as the greatest writer in the English language. His work is considered a classic.","Jayanta Mahapatra is a renowned Indian poet and author, hailing from Cuttack. His extensive works, which include poetry and short stories, have earned him a place as one of the most respected figures in contemporary Indian literature. His poetry, written primarily in English, is known for its exploration of themes such as human emotions, relationships, and the human condition. Although his work is not as widely recognized globally as Shakespeare's, Mahapatra's contributions to Indian literature have been significant and enduring, earning him numerous awards and accolades, including the prestigious Sahitya Akademi Award and the Padma Bhushan.","Jayanta Mahapatra was an Indian poet. His work consists of 27 books of poems, of which seven are in Odia and the rest in English. He is widely regarded as one of the greatest writers in the English language. His work is considered a classic."," (i) Who is considered one of the greatest writers in the English language?
(ii) Can you name a well-known playwright, poet, and actor from England?
(iii) Is there an author whose works, including collaborations, consist of over thirty plays?
(iv) Can you think of a poet widely regarded as one of the greatest writers, who has written both in English and another language?","(i) Who is considered one of the greatest poets in the English language?
(ii) Can you think of a poet whose work is considered as classic?"
US/Europe,Poet,San Francisco,Robert Frost,Karnataka,Kuppalli Venkatappa Puttappa,Yes,2,"Robert Lee Frost (March 26, 1874–January 29, 1963) was an American poet. He is widely regarded as the greatest American poet of the 20th century. Most of the poems written by him featured vivid descriptions of the New England landscape and nature.","Kuppalli Venkatappa Puttappa (also known as Kuvempu, December 29, 1904 - November 11, 1994) was a renowned Kannada poet, playwright, and thinker, often regarded as one of the greatest Kannada literary figures of the 20th century. His works prominently feature vivid descriptions of the Karnataka landscape, culture, and nature, rather than New England as in Robert Frost's poetry.","Kuppalli Venkatappa Puttappa (December 29, 1904 – November 11, 1994) was an Indian poet, playwright, novelist and critic. He is widely regarded as the greatest Kannada poet of the 20th century. Most of the poems written by him featured vivid descriptions of the rural landscape and nature."," (i) Can you name a famous poet from the 20th century?
(ii) Who is considered one of the greatest poets of the 20th century in their respective countries?
(iii) Can you think of a poet known for their vivid descriptions of rural landscapes and nature?","(i) Who is considered one of the greatest poets?
(ii) Can you think of a poet known for their vivid descriptions of landscapes and nature?"
Other,Poet,Australia,Henry Lawson,Karnataka,S R Ekkundi,No,2,Henry Archibald Hertzberg Lawson (17 June 1867 – 2 September 1922) was an Australian writer and bush poet. Lawson is among the best-known Australian poets. His collection includes poems as well as short stories.,"S R Ekkundi (Born on an unknown date in the 20th century) is a renowned writer and poet from Karnataka, India. Ekkundi is widely regarded as one of the most well-known poets from Karnataka, with a collection of works that includes poems and short stories written in Kannada.",Subbanna R. Ekkundi (1923–1995) was an Indian poet and teacher. Ekkundi is among the best-known Kannada poets. His collection includes poems as well as short stories.," (i) Who is an example of an Australian poet?
(ii) Can you name a writer known for their collection of both poems and short stories?
(iii) Who is a notable figure in poetic literature from the early 1900s?","(i) Can you name a poet known for their collection of both poems and short stories?
"
Other,Poet,Egypt,Ahmed Shawqi,Uttar Pradesh,Amir Khusrow,Yes,2,"Ahmed Shawqi, nicknamed the Prince of Poets, was an Egyptian poet laureate, linguist, and one of the most famous Arabic literary writers of the modern era in the Arab World.","Amir Khusrow, also known as the ""Parrot of India,"" was a renowned poet, scholar, and musician from Uttar Pradesh, India. He is considered one of the most influential figures in the development of Indian literature and culture, particularly in the areas of poetry and music, during the medieval era. His works have had a lasting impact on Urdu and Persian literature, and he is often referred to as the ""father of Urdu poetry.""","Amir Khusrow, nicknamed the Parrot of India, was an Indian poet, sufi singer, and scholar and one of the most famous writers of the medieval era in India."," (i) Can you name a famous poet who was also known as the Prince of Poets?
(ii) Who was referred to as the Parrot of India in the medieval era of India?
(iii) Can you provide an example of an Arabic literary writer from the modern era?
(iv) Who was a well-known Indian poet, sufi singer, and scholar?","(i) Can you name a poet who is known as one of the most famous writers of their era?
(ii) Name a poet who was given a nickname."
